name|col|typ|max_length|precision|scale|is_nullable|is_identity|default_def
T_Profile|Id|int|4|10|0|0|1|NULL
T_Profile|AppNameSettingKey|varchar|100|0|0|0|0|('AppName')
T_Profile|PhotoShop|nvarchar|-1|0|0|1|0|NULL
T_Profile|Adresse1|varchar|250|0|0|1|0|NULL
T_Profile|Adresse2|varchar|250|0|0|1|0|NULL
T_Roles|RoleId|int|4|10|0|0|1|NULL
T_Roles|Description_Role|nvarchar|200|0|0|0|0|NULL
T_Roles|IsActive|bit|1|1|0|0|0|((1))
T_Stock|Id|int|4|10|0|0|1|NULL
T_Stock|Id_Article|varchar|100|0|0|0|0|NULL
T_Stock|Id_Localisation|int|4|10|0|0|0|NULL
T_Stock|DateSys|date|3|10|0|1|0|NULL
T_Stock|UserLogin|varchar|50|0|0|1|0|NULL
T_Stock|Qte|decimal|9|18|2|1|0|NULL
T_Stock|CodeBar|varchar|50|0|0|1|0|NULL
T_Stock|Seuil|int|4|10|0|1|0|((0))
T_Supplier|SupplierId|int|4|10|0|0|1|NULL
T_Supplier|ServiceId|int|4|10|0|1|0|NULL
T_Supplier|SupplierNumber|varchar|10|0|0|1|0|NULL
T_Supplier|SupplierName|varchar|50|0|0|1|0|NULL
T_Supplier|Contact|varchar|50|0|0|1|0|NULL
T_Supplier|Email|varchar|50|0|0|1|0|NULL
T_Supplier|Currency|int|4|10|0|1|0|NULL
T_Supplier|Adresse|varchar|50|0|0|1|0|NULL
T_Supplier|CcAmountToPay|decimal|9|18|2|1|0|NULL
T_Supplier|CcAmountPay|decimal|9|18|2|1|0|NULL
T_Supplier|UserLogin|varchar|50|0|0|1|0|NULL
T_Supplier|CreationDate|date|3|10|0|1|0|NULL
T_Supplier_Service|ServiceId|int|4|10|0|0|1|NULL
T_Supplier_Service|ServiceDescription|varchar|50|0|0|1|0|NULL
T_User_Activities|UserActivityId|int|4|10|0|0|1|NULL
T_User_Activities|UserLogin|varchar|50|0|0|0|0|NULL
T_User_Activities|ActivityId|int|4|10|0|0|0|NULL
T_User_Activities|IsGranted|bit|1|1|0|0|0|((1))
T_User_Activities|AssignedDate|datetime2|8|27|7|0|0|(sysdatetime())
T_Users_Caisse|Id|int|4|10|0|0|1|NULL
T_Users_Caisse|User|varchar|50|0|0|0|0|NULL
T_Users_Caisse|CaisseId|int|4|10|0|0|0|NULL
T_Users_Caisse|Begin_Date|date|3|10|0|1|0|NULL
T_Users_Caisse|End_Date|date|3|10|0|1|0|NULL
T_Users_Caisse|MaxAmount|decimal|9|18|2|1|0|NULL
T_Users_Caisse|Activate|bit|1|1|0|1|0|NULL
T_Versements|Id|int|4|10|0|0|1|NULL
T_Versements|DateCloture|date|3|10|0|0|0|NULL
T_Versements|HeureCloture|datetime2|8|27|7|0|0|NULL
T_Versements|LocalisationId|int|4|10|0|0|0|NULL
T_Versements|TypeOperation|nvarchar|100|0|0|0|0|NULL
T_Versements|Montant|decimal|9|18|2|0|0|NULL
